title,company,location
개발팀 백엔드 개발자 업무,(유)일루미나리안,서울
개발팀 프론트 엔드 개발자 업무,(유)일루미나리안,서울
SW 개발자,우리소프트(주),서울
iOS 클라이언트 엔지니어,(주)삼십구도씨,서울
데이터 분석가 / Business Analyst,베이글코드(주),서울
신규 프로젝트 클라이언트 개발자 / Software Engineer-Client for New Project,베이글코드(주),서울
백엔드 개발자 / Software Engineer-Backend,베이글코드(주),서울
클라이언트 개발자 / Software Engineer-Client,베이글코드(주),서울
메타 게임 기획자 / Meta Game Designer,베이글코드(주),서울
메타 게임 기획자 인턴 / Meta Game Designer Intern,베이글코드(주),서울
데이터 사이언티스트 / Data Scientist,베이글코드(주),서울
데이터 엔지니어 / Data Engineer,베이글코드(주),서울
데이터 엔지니어 인턴 / Data Engineering Intern,베이글코드(주),서울
데이터 분석가 인턴 / BA Intern,베이글코드(주),서울
모바일 게임 QA,베이글코드(주),서울
물류배송 기획 및 데이터 분석 매니저,(주)버킷플레이스,서울
EDC programmer 채용,(주)드림씨아이에스,서울
게임 기획(신입),(주)선데이토즈,서울
게임기획 Game Designer,(주)선데이토즈,서울
배경 원화,(주)선데이토즈,서울
[잡플래닛 매칭] 데이터 정보 관리 시스템 개발,링크제니시스(주),경기
[Search] Knowledge Base Applications,네이버(주),경기
모바일/웹 개발자,(주)비욘드넥스트,모바일앱개발
모바일 로봇 제어 및 SLAM 개발,밸류체인씨엔티(주),서울
응용프로그래머(HMI),밸류체인씨엔티(주),서울
Vision 및 AI,밸류체인씨엔티(주),서울
Data Scientist   ,피엑스디,서울
Front-End 개발자 및 웹퍼블리셔,피엑스디,서울
SI/SM,(주)포스웨이브,경기
[인턴] Lighthouse 본부 - 머신러닝 서비스 개발자 인턴 모집,삼정케이피엠지컨설팅(주),서울
플랫폼본부 -  Data Scientist,(주)메쉬코리아,서울
Ruby on Rails 백엔드 개발자 (신입/경력),마이리얼트립(주),소프트웨어엔지니어
Vison설계,(주)디이엔티,경기
 전산팀,(주)인성,서울
Java 백엔드 개발자 (신입/경력),마이리얼트립(주),서울
웹 솔루션 및 서비스 개발자 모집,(주)코리아센터,서울
모바일앱 개발 업무,피클플러스,서울
검사기기 및 부품 제조업(영상처리 및 시스템소프트웨어 공급) - $딥러링 영상처리 연구 및 개발,잡플래닛 매칭서비스,경기
Data Center,한국전자인증(주),서울
AI lab	,한국전자인증(주),서울
R&D연구,(주)스냅스,서울
제작 기획자,(주)지엔앰퍼포먼스,서울
웹 프로그래머,(주)지엔앰퍼포먼스,서울
개발팀,세니온(주),인천
[경력] 파우더룸 서비스 개발 (백엔드),(주)파우컴퍼니,모바일앱개발
IT Data 분석,(주)글로벌머니익스프레스,서울
IT iOS 개발자,(주)글로벌머니익스프레스,서울
IT 안드로이드 개발자,(주)글로벌머니익스프레스,서울
IT 서버(백앤드) 개발자,(주)글로벌머니익스프레스,서울
